School,Year,Ticket Sales,Contributions,Rights,Other Revenues,Total Revenues,Coaching Staff,Scholarships,Overhead,Other Expenses,Total Expenses
Nebraska,2018,37196606,16714649,84405982,3905989,142223226,45954845,12004142,29584025,48084271,135627283
Nebraska,2017,37258695,26599584,52022217,4324594,120205090,41959986,11836616,23697026,35078004,112571632
Nebraska,2016,37198005,21518119,48303151,5123686,112142961,38596686,11051273,18617550,35480266,103745775
Nebraska,2015,36618329,19654976,40746990,5137104,102157399,37456302,9759530,19336712,31470493,98023037
Nebraska,2014,40450062,11833760,39955724,2558146,94797692,33771966,9531229,13231253,34404825,90939273
Nebraska,2013,32491416,12657818,39422253,2344514,86916001,31533521,8940459,11653411,29538878,81666269
Nebraska,2012,32450880,9783535,36919660,2477177,81631252,28931819,9416377,9264371,29424715,77037282
Nebraska,2011,31716096,12638521,35218058,4107081,83679756,27127693,10359619,12511204,31917968,81916484
Nebraska,2010,31504769,6103706,31309933,4565325,73483733,25614450,9677637,10864317,25581664,71738068
Nebraska,2009,33982799,5160306,32436216,3302062,74881383,23943188,8762557,12580072,25257688,70543505
Nebraska,2008,30560065,16410663,26748686,1773470,75492884,21395594,8166819,16107157,29311540,74981110
Nebraska,2007,28119217,15021384,25984184,1722123,70846908,20443650,7585821,14628336,22698661,65356468
Nebraska,2006,24696256,11749526,24238022,3039733,63723537,19126791,6637033,15963455,19940261,61667540
Nebraska,2005,21578588,11390228,21437629,1469889,55876334,18188469,6408173,12069641,19031046,55697329